co_despesa;co_unidade_demandante;dt_pagamento;vr_total;observacao;matricula_usuario_inclusao;created_at;updated_at
96;7096	;	2022-01-28	;5622,86;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
97;7096	;	2022-01-28	;5173,26;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
98;7096	;	2022-01-28	;3753,56;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
99;7096	;	2022-01-28	;5304,92;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
100;7096	;	2022-01-28	;5651,70;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
101;7096	;	2022-01-28	;5176,05;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
102;7096	;	2022-01-28	;5299,80;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
103;7096	;	2022-01-28	;4980,89;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
104;7096	;	2022-01-28	;3706,09;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
105;7096	;	2022-01-28	;3706,09;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
106;7096	;	2022-01-28	;4391,96;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
107;7096	;	2022-01-28	;5641,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
108;7096	;	2022-01-28	;5458,44;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
109;7096	;	2022-01-28	;4987,69;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
110;7096	;	2022-01-28	;5104,44;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
111;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
112;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
113;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
114;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
115;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
116;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
117;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
118;7096	;	2022-01-28	;386,76;	Vr ref pgto NFSE 121 RAE02;	C128927	;2024-03-21 18:13:35.443000000;
122;2884;11-05-1999;300,00;obs;Du;;
123;2889;11-05-1999;77,00;ok;Du;;
124;2889;11-05-1999;88888,00;ok;Du;;
125;4985;11-05-1999;547,00;ok;Du;;
126;4985;11-05-1999;547,00;ok;Du;;
127;2447;11-05-2222;547,00;ok;Du;;
128;2447;11-05-2222;547,00;ok;Du;;
129;7004;2021-11-29;350,00;vaiiiiiii;Du;;
130;7004;20211129;350,00;vaiiiii;Du;;
